region_name,country_code,province_name,city_name,region_city_rank,Unnamed: 5,Unnamed: 6,Unnamed: 7,latitude,longitude
UNITED STATES,US,PENNSYLVANIA,PHILADELPHIA,29,,,,39.9527237,-75.1635262
UNITED STATES,US,NORTH CAROLINA,CHARLOTTE,30,,,,35.2272086,-80.8430827
UNITED STATES,US,INDIANA,INDIANAPOLIS,31,,,,39.7683331,-86.1583502
UNITED STATES,US,FLORIDA,KEY WEST,32,,,,24.5625566,-81.7724368
UNITED STATES,US,NEW YORK,BROOKLYN,33,,,,40.6526006,-73.9497211
UNITED STATES,US,CALIFORNIA,ANAHEIM,34,,,,33.8347516,-117.911732
UNITED STATES,US,VIRGINIA,VIRGINIA BEACH,35,,,,36.8529841,-75.9774183
UNITED STATES,US,GEORGIA,SAVANNAH,36,,,,32.0564572,-81.0951271
UNITED STATES,US,ARIZONA,SCOTTSDALE,37,,,,33.4942189,-111.926018
UNITED STATES,US,TENNESSEE,PIGEON FORGE,38,,,,35.7884241,-83.5543329
UNITED STATES,US,OHIO,COLUMBUS,39,,,,39.9622601,-83.0007065
UNITED STATES,US,OREGON,PORTLAND,40,,,,45.5202471,-122.674194
UNITED STATES,US,PUERTO RICO,SAN JUAN,41,,,,18.465299,-66.116666
UNITED STATES,US,TENNESSEE,GATLINBURG,42,,,,35.714259,-83.5101638
UNITED STATES,US,FLORIDA,JACKSONVILLE,43,,,,30.3321838,-81.655651
UNITED STATES,US,FLORIDA,SAINT PETERSBURG,44,,,,27.7703796,-82.6695085
UNITED STATES,US,SOUTH CAROLINA,CHARLESTON,45,,,,32.7884363,-79.9399309
UNITED STATES,US,MISSOURI,SAINT LOUIS,46,,,,38.6280278,-90.1910154
UNITED STATES,US,MISSOURI,KANSAS CITY,47,,,,39.100105,-94.5781416
UNITED STATES,US,FLORIDA,CLEARWATER BEACH,48,,,,27.9774736,-82.8279313
UNITED STATES,US,PENNSYLVANIA,PITTSBURGH,49,,,,40.4416941,-79.9900861
UNITED STATES,US,FLORIDA,SARASOTA,50,,,,27.3365805,-82.5308545
UNITED STATES,US,KENTUCKY,LOUISVILLE,51,,,,38.2542376,-85.759407
UNITED STATES,US,FLORIDA,DAYTONA BEACH,52,,,,29.2108147,-81.0228331
