,Unnamed: 0,region_name,country_code,province_name,city_name,region_city_rank,attractions_url,30_attractions_char
10,10,CARIBBEAN,DR,LA ALTAGRACIA,PUNTA CANA,1,https://www.tripadvisor.com/Attractions-g147293-Activities-oa0-Punta_Cana_La_Altagracia_Province_Dominican_Republic.html,"['Beaches', 'Casinos', 'Beaches', 'Nature & Wildlife Areas', 'Bodies of Water', 'Water Parks', 'Beaches', 'Beaches', 'Amusement & Theme Parks', 'Marinas', 'Points of Interest & Landmarks', 'Casinos', 'Speciality Museums', 'Taxis & Shuttles', 'Shopping Malls', 'Points of Interest & Landmarks • Airport Lounges', 'Water Parks', 'Casinos', 'Caverns & Caves', 'Beach & Pool Clubs', 'Beach & Pool Clubs', 'Casinos', 'Historic Sites • Points of Interest & Landmarks', 'Bus Services • Taxis & Shuttles', 'Casinos', 'Bodies of Water', 'Water Parks', 'Beaches', 'Taxis & Shuttles', 'Speciality Museums']"
11,11,CARIBBEAN,BF,BAHAMAS,NASSAU,2,https://www.tripadvisor.com/Attractions-g147416-Activities-oa0-Nassau_New_Providence_Island_Bahamas.html,"['Water Parks', 'Islands', 'Historic Sites', 'Water Parks', 'Beaches', 'Parks', 'History Museums', 'Beaches', 'Nature & Wildlife Areas • Gardens', 'Nature & Wildlife Areas', 'Art Galleries • Art Museums', 'Beaches', 'Beaches', 'Islands', 'Art Museums', 'Beaches', 'Points of Interest & Landmarks • Religious Sites', 'Historic Sites • Castles', 'Casinos', 'Ferries', 'Points of Interest & Landmarks • Government Buildings', 'Flea & Street Markets', 'Points of Interest & Landmarks • Flea & Street Markets', 'Historic Sites', 'Historic Sites', 'Wineries & Vineyards', 'Speciality Museums', 'National Parks • Parks', 'Churches & Cathedrals', 'History Museums']"
12,12,CARIBBEAN,JM,SAINT JAMES,MONTEGO BAY,3,https://www.tripadvisor.com/Attractions-g147311-Activities-oa0-Montego_Bay_Saint_James_Parish_Jamaica.html,"['Airport Lounges', 'Bodies of Water', 'Historic Sites • Architectural Buildings', 'Beaches', 'Nature & Wildlife Areas', 'Art Galleries • Lookouts', 'Points of Interest & Landmarks • History Museums', 'Marinas', 'Shopping Malls', 'Points of Interest & Landmarks', 'Beaches', 'Parks', 'Points of Interest & Landmarks', 'Nature & Wildlife Areas', 'Water Parks', 'Marinas • Parks', 'Architectural Buildings • Gardens', 'Beaches', 'Shopping Malls', 'Caverns & Caves', 'Points of Interest & Landmarks', 'Flea & Street Markets', 'Points of Interest & Landmarks', 'Points of Interest & Landmarks', 'Points of Interest & Landmarks • Churches & Cathedrals', 'Historic Sites', 'Shopping Malls', 'Shopping Malls', 'Churches & Cathedrals', 'Beaches • Beach & Pool Clubs']"
13,13,CARIBBEAN,AA,,PALM BEACH,4,https://www.tripadvisor.com/Attractions-g147249-Activities-oa0-Palm_Eagle_Beach_Aruba.html,"['Beaches', 'Beaches', 'Beaches', 'Beaches', 'Casinos', 'Historic Sites • Ships', 'Casinos', 'Reefs', 'Casinos', 'Shopping Malls', 'Casinos', 'Sports Camps & Clinics', 'Historic Sites', 'Points of Interest & Landmarks • Reefs', 'Casinos', 'Beaches', 'Casinos', 'Shopping Malls', 'Casinos', 'Nature & Wildlife Areas', 'Speciality & Gift Shops', 'Spas', 'Spas', 'Spas', 'Shopping Malls', 'Speciality & Gift Shops', 'Comedy Clubs', 'Casinos', 'Casinos', 'Spas']"
14,14,CARIBBEAN,JM,,HANOVER,5,https://www.tripadvisor.com/Attractions-g1448458-Activities-oa0-Hanover_Parish_Jamaica.html,"['Historic Sites • Ancient Ruins', 'Taxis & Shuttles', 'Taxis & Shuttles', 'Gardens', 'Taxis & Shuttles', 'Taxis & Shuttles', 'Golf Courses', 'Taxis & Shuttles', 'Spas', 'Taxis & Shuttles', '4WD, ATV & Off-Road Tours • Adrenaline & Extreme Tours', 'Bars & Clubs', 'Swim with Dolphins', 'Private Tours', 'Bars & Clubs', 'Lessons & Workshops', 'Taxis & Shuttles', 'Taxis & Shuttles • Private Tours', 'Scuba & Snorkelling • Boat Tours', 'Sightseeing Tours', 'Private Tours', 'River Rafting & Tubing • Kayaking & Canoeing', 'Parasailing & Paragliding • Adrenaline & Extreme Tours', 'Taxis & Shuttles • Day Trips', '4WD, ATV & Off-Road Tours • Walking Tours', 'Adrenaline & Extreme Tours']"
15,15,CARIBBEAN,BB,,BARBADOS,6,https://www.tripadvisor.com/Attractions-g147262-Activities-oa0-Barbados.html,"['Gardens', 'Beaches', 'Distilleries', 'Caverns & Caves', 'Distilleries • Historic Sites', 'Beaches', 'Distilleries • Historic Sites', 'Caverns & Caves', 'Historic Sites • Gardens', 'Flea & Street Markets', 'Beaches', 'Beaches', 'Beach & Pool Clubs', 'Beaches', 'Forests • Gardens', 'Gardens', 'Historic Sites', 'Beaches', 'Beaches', 'Points of Interest & Landmarks • Beaches', 'Piers & Boardwalks', 'Beaches', 'Historic Sites', 'Beaches', 'Nature & Wildlife Areas', 'Sports Complexes • Arenas & Stadiums', 'Visitor Centers', 'Forests', 'Beaches', 'Beaches']"
16,16,CARIBBEAN,ST,,SAINT LUCIA,7,https://www.tripadvisor.com/Attractions-g147342-Activities-oa0-St_Lucia.html,"['National Parks • Islands', 'Mountains • Geologic Formations', 'Hot Springs & Geysers', 'Gardens', 'Points of Interest & Landmarks', 'Bodies of Water • Farms', 'Bodies of Water • Neighborhoods', 'Forests', 'Nature & Wildlife Areas', 'Beaches', 'Bodies of Water', 'Religious Sites', 'Volcanos', 'Hiking Trails', 'Waterfalls', 'Hiking Trails', 'Beaches', 'Beaches', 'Water Parks', 'Waterfalls', 'Marinas', 'Hot Springs & Geysers', 'Flea & Street Markets', 'Waterfalls', 'Art Galleries', 'Beaches', 'Nature & Wildlife Areas', 'Beaches', 'Farms', 'Beaches']"
17,17,CARIBBEAN,CJ,,GRAND CAYMAN,8,https://www.tripadvisor.com/Attractions-g147365-Activities-oa0-Grand_Cayman_Cayman_Islands.html,"['Nature & Wildlife Areas', 'Beaches', 'Caverns & Caves', 'Distilleries', 'Reefs • Beaches', 'Aquariums', 'Parks • Gardens', 'Historic Sites • Castles', 'Beaches', 'Beaches • Beach & Pool Clubs', 'Reefs • Beaches', 'Reefs • Ships', 'Beaches', 'Breweries', 'Bodies of Water', 'Beaches', 'Bodies of Water • Caverns & Caves', 'Hot Springs & Geysers', 'Nature & Wildlife Areas', 'Piers & Boardwalks', 'Points of Interest & Landmarks • Geologic Formations', 'Art Galleries', 'Art Museums', 'Antique Shops', 'Bodies of Water • Reefs', 'Churches & Cathedrals', 'Piers & Boardwalks', 'Reefs', 'Ferries', 'National Parks • Parks']"
18,18,CARIBBEAN,DR,PUERTO PLATA,PUERTO PLATA,9,https://www.tripadvisor.com/Attractions-g147290-Activities-oa0-Puerto_Plata_Puerto_Plata_Province_Dominican_Republic.html,"['Waterfalls', 'Trams', 'Water Parks • Aquariums', 'Mountains', 'Piers & Boardwalks', 'Beaches • Beach & Pool Clubs', 'Points of Interest & Landmarks • Piers & Boardwalks', 'Speciality Museums', 'Historic Sites', 'Beaches', 'Beaches', 'Points of Interest & Landmarks', 'Speciality Museums', 'Hiking Trails', 'Points of Interest & Landmarks • Parks', 'Churches & Cathedrals', 'Amusement & Theme Parks', 'Points of Interest & Landmarks', 'Speciality Museums • Historic Sites', 'Scenic Walking Areas', 'Points of Interest & Landmarks', 'Beaches', 'Farms', 'Equestrian Trails', 'National Parks', 'Speciality Museums', 'Beaches', 'Shopping Malls', 'Speciality & Gift Shops', 'Taxis & Shuttles']"
19,19,CARIBBEAN,TK,,PROVIDENCIALES,10,https://www.tripadvisor.com/Attractions-g147399-Activities-oa0-Providenciales_Turks_and_Caicos.html,"['Beaches', 'Beaches', 'Bodies of Water • National Parks', 'Bodies of Water', 'Points of Interest & Landmarks', 'Reefs', 'Beaches', 'Points of Interest & Landmarks • Beaches', 'Beaches', 'Breweries', 'Reefs • Islands', 'Art Galleries', 'Beaches', 'Nature & Wildlife Areas • Farms', 'National Parks • Nature & Wildlife Areas', 'Points of Interest & Landmarks • Monuments & Statues', 'Points of Interest & Landmarks', 'Art Galleries', 'Reefs • Beaches', 'Geologic Formations', 'Horseback Riding Tours', 'Beaches', 'Art Galleries', 'Sports Camps & Clinics • Sports Complexes', 'Historic Sites', 'Historic Sites • Points of Interest & Landmarks', 'Casinos', 'Ships', 'Golf Courses', 'Nature & Wildlife Areas']"
